financial_year,extrication,n_casualties,sex,age_band,extrication_method
2010/11,B post rip,6,Male,0-16,B post rip
2010/11,B post rip,36,Male,17-24,B post rip
2010/11,B post rip,79,Male,25-39,B post rip
2010/11,B post rip,89,Male,40-64,B post rip
2010/11,B post rip,34,Male,65+,B post rip
2010/11,B post rip,13,Female,0-16,B post rip
2010/11,B post rip,21,Female,17-24,B post rip
2010/11,B post rip,39,Female,25-39,B post rip
2010/11,B post rip,80,Female,40-64,B post rip
2010/11,B post rip,23,Female,65+,B post rip
2010/11,Dashboard roll,23,Male,0-16,Dashboard roll
2010/11,Dashboard roll,31,Male,17-24,Dashboard roll
2010/11,Dashboard roll,49,Male,25-39,Dashboard roll
2010/11,Dashboard roll,80,Male,40-64,Dashboard roll
2010/11,Dashboard roll,12,Male,65+,Dashboard roll
2010/11,Dashboard roll,19,Female,0-16,Dashboard roll
2010/11,Dashboard roll,24,Female,17-24,Dashboard roll
2010/11,Dashboard roll,20,Female,25-39,Dashboard roll
2010/11,Dashboard roll,34,Female,40-64,Dashboard roll
2010/11,Dashboard roll,5,Female,65+,Dashboard roll
2010/11,Other space creation,128,Male,0-16,Other space creation
2010/11,Other space creation,317,Male,17-24,Other space creation
2010/11,Other space creation,549,Male,25-39,Other space creation
2010/11,Other space creation,672,Male,40-64,Other space creation
2010/11,Other space creation,250,Male,65+,Other space creation
2010/11,Other space creation,110,Female,0-16,Other space creation
2010/11,Other space creation,264,Female,17-24,Other space creation
2010/11,Other space creation,361,Female,25-39,Other space creation
2010/11,Other space creation,482,Female,40-64,Other space creation
2010/11,Other space creation,255,Female,65+,Other space creation
2010/11,Roof flap (vehicle on side),6,Male,0-16,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),26,Male,17-24,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),48,Male,25-39,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),65,Male,40-64,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),23,Male,65+,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),7,Female,0-16,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),23,Female,17-24,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),36,Female,25-39,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),54,Female,40-64,Roof flap (vehicle on side)
2010/11,Roof flap (vehicle on side),15,Female,65+,Roof flap (vehicle on side)
2010/11,Roof removal,136,Male,0-16,Roof removal
2010/11,Roof removal,512,Male,17-24,Roof removal
2010/11,Roof removal,770,Male,25-39,Roof removal
2010/11,Roof removal,762,Male,40-64,Roof removal
2010/11,Roof removal,232,Male,65+,Roof removal
2010/11,Roof removal,133,Female,0-16,Roof removal
2010/11,Roof removal,416,Female,17-24,Roof removal
2010/11,Roof removal,666,Female,25-39,Roof removal
2010/11,Roof removal,747,Female,40-64,Roof removal
2010/11,Roof removal,293,Female,65+,Roof removal
2010/11,Side removal (vehicle on roof),4,Male,0-16,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),34,Male,17-24,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),40,Male,25-39,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),48,Male,40-64,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),15,Male,65+,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),4,Female,0-16,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),16,Female,17-24,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),29,Female,25-39,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),40,Female,40-64,Side removal (vehicle on roof)
2010/11,Side removal (vehicle on roof),13,Female,65+,Side removal (vehicle on roof)
2011/12,B post rip,15,Male,0-16,B post rip
2011/12,B post rip,37,Male,17-24,B post rip
2011/12,B post rip,67,Male,25-39,B post rip
2011/12,B post rip,115,Male,40-64,B post rip
2011/12,B post rip,35,Male,65+,B post rip
2011/12,B post rip,19,Female,0-16,B post rip
2011/12,B post rip,21,Female,17-24,B post rip
2011/12,B post rip,34,Female,25-39,B post rip
2011/12,B post rip,81,Female,40-64,B post rip
2011/12,B post rip,33,Female,65+,B post rip
2011/12,Dashboard roll,10,Male,0-16,Dashboard roll
2011/12,Dashboard roll,31,Male,17-24,Dashboard roll
2011/12,Dashboard roll,48,Male,25-39,Dashboard roll
2011/12,Dashboard roll,70,Male,40-64,Dashboard roll
2011/12,Dashboard roll,13,Male,65+,Dashboard roll
2011/12,Dashboard roll,3,Female,0-16,Dashboard roll
2011/12,Dashboard roll,7,Female,17-24,Dashboard roll
2011/12,Dashboard roll,12,Female,25-39,Dashboard roll
2011/12,Dashboard roll,25,Female,40-64,Dashboard roll
2011/12,Dashboard roll,7,Female,65+,Dashboard roll
2011/12,Other space creation,89,Male,0-16,Other space creation
2011/12,Other space creation,290,Male,17-24,Other space creation
2011/12,Other space creation,498,Male,25-39,Other space creation
2011/12,Other space creation,708,Male,40-64,Other space creation
2011/12,Other space creation,216,Male,65+,Other space creation
2011/12,Other space creation,98,Female,0-16,Other space creation
2011/12,Other space creation,242,Female,17-24,Other space creation
2011/12,Other space creation,370,Female,25-39,Other space creation
2011/12,Other space creation,504,Female,40-64,Other space creation
2011/12,Other space creation,250,Female,65+,Other space creation
2011/12,Roof flap (vehicle on side),12,Male,0-16,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),22,Male,17-24,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),43,Male,25-39,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),45,Male,40-64,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),25,Male,65+,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),2,Female,0-16,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),35,Female,17-24,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),25,Female,25-39,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),43,Female,40-64,Roof flap (vehicle on side)
2011/12,Roof flap (vehicle on side),26,Female,65+,Roof flap (vehicle on side)
2011/12,Roof removal,157,Male,0-16,Roof removal
2011/12,Roof removal,490,Male,17-24,Roof removal
2011/12,Roof removal,774,Male,25-39,Roof removal
2011/12,Roof removal,886,Male,40-64,Roof removal
2011/12,Roof removal,281,Male,65+,Roof removal
2011/12,Roof removal,158,Female,0-16,Roof removal
2011/12,Roof removal,392,Female,17-24,Roof removal
2011/12,Roof removal,632,Female,25-39,Roof removal
2011/12,Roof removal,860,Female,40-64,Roof removal
2011/12,Roof removal,341,Female,65+,Roof removal
2011/12,Side removal (vehicle on roof),12,Male,0-16,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),31,Male,17-24,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),39,Male,25-39,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),53,Male,40-64,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),19,Male,65+,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),6,Female,0-16,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),5,Female,17-24,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),21,Female,25-39,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),38,Female,40-64,Side removal (vehicle on roof)
2011/12,Side removal (vehicle on roof),30,Female,65+,Side removal (vehicle on roof)
2012/13,B post rip,5,Male,0-16,B post rip
2012/13,B post rip,19,Male,17-24,B post rip
2012/13,B post rip,52,Male,25-39,B post rip
2012/13,B post rip,50,Male,40-64,B post rip
2012/13,B post rip,21,Male,65+,B post rip
2012/13,B post rip,9,Female,0-16,B post rip
2012/13,B post rip,8,Female,17-24,B post rip
2012/13,B post rip,38,Female,25-39,B post rip
2012/13,B post rip,42,Female,40-64,B post rip
2012/13,B post rip,15,Female,65+,B post rip
2012/13,Dashboard roll,5,Male,0-16,Dashboard roll
2012/13,Dashboard roll,20,Male,17-24,Dashboard roll
2012/13,Dashboard roll,44,Male,25-39,Dashboard roll
2012/13,Dashboard roll,54,Male,40-64,Dashboard roll
2012/13,Dashboard roll,11,Male,65+,Dashboard roll
2012/13,Dashboard roll,3,Female,0-16,Dashboard roll
2012/13,Dashboard roll,5,Female,17-24,Dashboard roll
2012/13,Dashboard roll,14,Female,25-39,Dashboard roll
2012/13,Dashboard roll,15,Female,40-64,Dashboard roll
2012/13,Dashboard roll,10,Female,65+,Dashboard roll
2012/13,Other space creation,51,Male,0-16,Other space creation
2012/13,Other space creation,219,Male,17-24,Other space creation
2012/13,Other space creation,369,Male,25-39,Other space creation
2012/13,Other space creation,442,Male,40-64,Other space creation
2012/13,Other space creation,182,Male,65+,Other space creation
2012/13,Other space creation,39,Female,0-16,Other space creation
2012/13,Other space creation,165,Female,17-24,Other space creation
2012/13,Other space creation,227,Female,25-39,Other space creation
2012/13,Other space creation,348,Female,40-64,Other space creation
2012/13,Other space creation,195,Female,65+,Other space creation
2012/13,Roof flap (vehicle on side),1,Male,0-16,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),19,Male,17-24,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),25,Male,25-39,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),37,Male,40-64,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),18,Male,65+,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),2,Female,0-16,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),20,Female,17-24,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),19,Female,25-39,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),37,Female,40-64,Roof flap (vehicle on side)
2012/13,Roof flap (vehicle on side),21,Female,65+,Roof flap (vehicle on side)
2012/13,Roof removal,105,Male,0-16,Roof removal
2012/13,Roof removal,335,Male,17-24,Roof removal
2012/13,Roof removal,614,Male,25-39,Roof removal
2012/13,Roof removal,657,Male,40-64,Roof removal
2012/13,Roof removal,235,Male,65+,Roof removal
2012/13,Roof removal,90,Female,0-16,Roof removal
2012/13,Roof removal,329,Female,17-24,Roof removal
2012/13,Roof removal,548,Female,25-39,Roof removal
2012/13,Roof removal,702,Female,40-64,Roof removal
2012/13,Roof removal,277,Female,65+,Roof removal
2012/13,Side removal (vehicle on roof),4,Male,0-16,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),23,Male,17-24,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),32,Male,25-39,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),31,Male,40-64,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),19,Male,65+,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),7,Female,0-16,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),21,Female,17-24,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),18,Female,25-39,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),29,Female,40-64,Side removal (vehicle on roof)
2012/13,Side removal (vehicle on roof),16,Female,65+,Side removal (vehicle on roof)
2013/14,B post rip,9,Male,0-16,B post rip
2013/14,B post rip,18,Male,17-24,B post rip
2013/14,B post rip,52,Male,25-39,B post rip
2013/14,B post rip,72,Male,40-64,B post rip
2013/14,B post rip,30,Male,65+,B post rip
2013/14,B post rip,11,Female,0-16,B post rip
2013/14,B post rip,17,Female,17-24,B post rip
2013/14,B post rip,36,Female,25-39,B post rip
2013/14,B post rip,62,Female,40-64,B post rip
2013/14,B post rip,41,Female,65+,B post rip
2013/14,Dashboard roll,11,Male,0-16,Dashboard roll
2013/14,Dashboard roll,24,Male,17-24,Dashboard roll
2013/14,Dashboard roll,27,Male,25-39,Dashboard roll
2013/14,Dashboard roll,53,Male,40-64,Dashboard roll
2013/14,Dashboard roll,11,Male,65+,Dashboard roll
2013/14,Dashboard roll,5,Female,0-16,Dashboard roll
2013/14,Dashboard roll,4,Female,17-24,Dashboard roll
2013/14,Dashboard roll,9,Female,25-39,Dashboard roll
2013/14,Dashboard roll,17,Female,40-64,Dashboard roll
2013/14,Dashboard roll,5,Female,65+,Dashboard roll
2013/14,Other space creation,45,Male,0-16,Other space creation
2013/14,Other space creation,169,Male,17-24,Other space creation
2013/14,Other space creation,283,Male,25-39,Other space creation
2013/14,Other space creation,460,Male,40-64,Other space creation
2013/14,Other space creation,173,Male,65+,Other space creation
2013/14,Other space creation,43,Female,0-16,Other space creation
2013/14,Other space creation,144,Female,17-24,Other space creation
2013/14,Other space creation,238,Female,25-39,Other space creation
2013/14,Other space creation,326,Female,40-64,Other space creation
2013/14,Other space creation,182,Female,65+,Other space creation
2013/14,Roof flap (vehicle on side),2,Male,0-16,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),26,Male,17-24,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),40,Male,25-39,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),39,Male,40-64,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),26,Male,65+,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),3,Female,0-16,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),18,Female,17-24,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),24,Female,25-39,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),29,Female,40-64,Roof flap (vehicle on side)
2013/14,Roof flap (vehicle on side),25,Female,65+,Roof flap (vehicle on side)
2013/14,Roof removal,85,Male,0-16,Roof removal
2013/14,Roof removal,281,Male,17-24,Roof removal
2013/14,Roof removal,575,Male,25-39,Roof removal
2013/14,Roof removal,642,Male,40-64,Roof removal
2013/14,Roof removal,226,Male,65+,Roof removal
2013/14,Roof removal,80,Female,0-16,Roof removal
2013/14,Roof removal,322,Female,17-24,Roof removal
2013/14,Roof removal,506,Female,25-39,Roof removal
2013/14,Roof removal,648,Female,40-64,Roof removal
2013/14,Roof removal,307,Female,65+,Roof removal
2013/14,Side removal (vehicle on roof),4,Male,0-16,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),18,Male,17-24,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),29,Male,25-39,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),34,Male,40-64,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),17,Male,65+,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),6,Female,0-16,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),14,Female,17-24,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),10,Female,25-39,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),28,Female,40-64,Side removal (vehicle on roof)
2013/14,Side removal (vehicle on roof),9,Female,65+,Side removal (vehicle on roof)
2014/15,B post rip,11,Male,0-16,B post rip
2014/15,B post rip,16,Male,17-24,B post rip
2014/15,B post rip,50,Male,25-39,B post rip
2014/15,B post rip,67,Male,40-64,B post rip
2014/15,B post rip,35,Male,65+,B post rip
2014/15,B post rip,9,Female,0-16,B post rip
2014/15,B post rip,18,Female,17-24,B post rip
2014/15,B post rip,36,Female,25-39,B post rip
2014/15,B post rip,73,Female,40-64,B post rip
2014/15,B post rip,32,Female,65+,B post rip
2014/15,Dashboard roll,4,Male,0-16,Dashboard roll
2014/15,Dashboard roll,14,Male,17-24,Dashboard roll
2014/15,Dashboard roll,51,Male,25-39,Dashboard roll
2014/15,Dashboard roll,53,Male,40-64,Dashboard roll
2014/15,Dashboard roll,11,Male,65+,Dashboard roll
2014/15,Dashboard roll,2,Female,0-16,Dashboard roll
2014/15,Dashboard roll,9,Female,17-24,Dashboard roll
2014/15,Dashboard roll,14,Female,25-39,Dashboard roll
2014/15,Dashboard roll,14,Female,40-64,Dashboard roll
2014/15,Dashboard roll,6,Female,65+,Dashboard roll
2014/15,Other space creation,76,Male,0-16,Other space creation
2014/15,Other space creation,185,Male,17-24,Other space creation
2014/15,Other space creation,305,Male,25-39,Other space creation
2014/15,Other space creation,384,Male,40-64,Other space creation
2014/15,Other space creation,212,Male,65+,Other space creation
2014/15,Other space creation,51,Female,0-16,Other space creation
2014/15,Other space creation,163,Female,17-24,Other space creation
2014/15,Other space creation,209,Female,25-39,Other space creation
2014/15,Other space creation,314,Female,40-64,Other space creation
2014/15,Other space creation,203,Female,65+,Other space creation
2014/15,Roof flap (vehicle on side),0,Male,0-16,Roof flap (vehicle on side)
2014/15,Roof flap (vehicle on side),17,Male,17-24,Roof flap (vehicle on side)
2014/15,Roof flap (vehicle on side),25,Male,25-39,Roof flap (vehicle on side)
