casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Slight,Male,36,36 - 45,"In carriageway, crossing elsewhere",From drivers offside,2023-04-13T09:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,60,Male,9
Serious,Male,37,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-18T08:43:00Z,Daylight,Fine no high winds,Urban,Dry,None,68,Male,9
Slight,Male,2,0 - 5,Unknown or other,Unknown or other,2023-08-12T22:39:00Z,Darkness - no lighting,Fine high winds,Rural,Dry,None,17,Male,9
Slight,Female,43,36 - 45,Unknown or other,Unknown or other,2023-08-12T22:39:00Z,Darkness - no lighting,Fine high winds,Rural,Dry,None,17,Male,9
Serious,Male,47,46 - 55,Unknown or other,Unknown or other,2023-08-12T22:39:00Z,Darkness - no lighting,Fine high winds,Rural,Dry,None,17,Male,9
Serious,Male,46,46 - 55,Unknown or other,Unknown or other,2023-08-12T22:39:00Z,Darkness - no lighting,Fine high winds,Rural,Dry,None,17,Male,9
Slight,Female,10,6 - 10,On pedestrian crossing facility,From drivers offside,2023-09-22T20:18:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,49,Male,9
Serious,Female,49,46 - 55,On pedestrian crossing facility,From drivers offside,2023-09-22T20:18:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,49,Male,9
Slight,Male,70,66 - 75,Centre of carriageway without refuge,Walking back to traffic,2023-03-09T09:15:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,60,Male,9
Serious,Male,42,36 - 45,"In carriageway, crossing elsewhere",From drivers offside,2023-02-04T19:00:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,39,Male,19
Slight,Male,15,11 - 15,Unknown or other,Unknown or other,2023-03-07T08:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,74,Male,9
Slight,Male,15,11 - 15,Unknown or other,Unknown or other,2023-03-07T08:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,74,Male,9
Slight,Male,15,11 - 15,Unknown or other,Unknown or other,2023-03-07T08:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,74,Male,9
Slight,Female,16,16 - 20,On pedestrian crossing facility,From drivers offside,2023-12-20T16:34:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,18,Male,9
Fatal,Female,66,66 - 75,Within 50m. of crossing,From drivers nearside,2023-09-26T10:35:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,1
Serious,Male,20,16 - 20,On footway or verge,Unknown or other,2023-01-21T22:06:00Z,Darkness - lighting unknown,Fine no high winds,Rural,Wet or damp,None,61,Female,9
Serious,Male,20,16 - 20,On footway or verge,Unknown or other,2023-01-21T22:06:00Z,Darkness - lighting unknown,Fine no high winds,Rural,Wet or damp,None,19,Male,9
Serious,Male,20,16 - 20,On footway or verge,Unknown or other,2023-01-21T22:06:00Z,Darkness - lighting unknown,Fine no high winds,Rural,Wet or damp,None,24,Male,9
Fatal,Male,38,36 - 45,"In carriageway, crossing elsewhere",Unknown or other,2023-11-09T19:53:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,40,Male,9
Serious,Female,14,11 - 15,Within 50m. of crossing,From drivers nearside,2023-03-29T15:00:00Z,Daylight,Raining no high winds,Rural,Wet or damp,None,91,Female,9
Slight,Female,55,46 - 55,"In carriageway, not crossing",Walking back to traffic,2023-12-05T14:40:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,72,Male,9
Slight,Female,55,46 - 55,Unknown or other,Unknown or other,2023-12-18T15:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,38,Male,9
Serious,Female,59,56 - 65,On pedestrian crossing facility,From drivers offside,2023-11-12T16:15:00Z,Daylight,Fine no high winds,Urban,Wet or damp,NA,63,Male,9
Fatal,Male,44,36 - 45,Unknown or other,Unknown or other,2023-05-21T00:05:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,59,Male,9
Fatal,Male,49,46 - 55,On pedestrian crossing facility,From drivers nearside,2023-12-17T17:17:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,35,Male,9
Serious,Male,60,56 - 65,Centre of carriageway without refuge,From offside masked by vehicle,2023-03-15T11:35:00Z,Daylight,Fine no high winds,Urban,Dry,None,23,Male,19
Slight,Male,67,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-06-07T20:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,34,Female,3
Serious,Female,52,46 - 55,Unknown or other,Walking facing traffic,2023-09-30T00:45:00Z,Darkness - lights lit,Unknown,Urban,Dry,None,100,Not known,8
Serious,Male,59,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-05-19T20:20:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,NA,23,Male,8
Slight,Female,39,36 - 45,On footway or verge,Unknown or other,2023-11-01T14:51:00Z,Daylight,Unknown,Urban,Dry,None,-1,Male,9
Fatal,Male,38,36 - 45,"In carriageway, not crossing",Unknown or other,2023-01-20T10:00:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,38,Male,19
Fatal,Male,38,36 - 45,"In carriageway, not crossing",Unknown or other,2023-01-20T10:00:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,-1,Male,9
Fatal,Male,38,36 - 45,"In carriageway, not crossing",Unknown or other,2023-01-20T10:00:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,-1,Female,9
Serious,Male,10,6 - 10,Within 50m. of crossing,From drivers offside,2023-11-10T16:45:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,46,Male,9
Serious,Male,15,11 - 15,On refuge or similar,From drivers offside,2023-08-26T23:00:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,53,Male,8
Fatal,Male,54,46 - 55,Within 50m. of crossing,From drivers nearside,2023-03-27T12:10:00Z,Daylight,Fine no high winds,Rural,Dry,None,20,Male,90
Slight,Male,58,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-23T15:09:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,50,Female,9
Slight,Male,88,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-04-15T12:06:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Male,9
